keyword_count,text_length,word_count,avg_word_length,url_count,email_count,exclamation_count,question_count,dollar_count
1,117,29,3.0689655172413794,0,0,0,0,0
0,98,20,3.95,0,0,0,0,0
1,571,100,4.72,0,0,0,1,0
1,1046,181,4.7845303867403315,0,0,0,1,0
7,7409,1312,4.647865853658536,0,0,0,0,5
1,354,79,3.4936708860759493,0,0,3,0,0
2,2796,498,4.616465863453815,0,0,5,0,2
3,1616,327,3.944954128440367,0,0,0,2,0
8,16830,2881,4.842068726136758,0,0,26,8,19
2,788,159,3.9622641509433962,0,0,4,0,0
0,271,51,4.333333333333333,0,0,0,1,0
0,146,27,4.444444444444445,0,0,0,0,0
2,1478,258,4.732558139534884,0,0,0,0,1
2,973,143,5.811188811188811,0,0,1,0,1
2,1306,248,4.270161290322581,0,0,0,0,2
1,300,50,5.02,0,0,0,0,0
1,479,86,4.5813953488372094,0,0,0,0,0
0,373,62,5.032258064516129,0,0,0,2,0
2,298,56,4.339285714285714,0,0,0,12,0
2,530,114,3.6578947368421053,0,0,0,0,0
3,910,153,4.954248366013072,0,0,4,2,1
2,291,41,6.121951219512195,0,0,0,1,0
2,14781,2546,4.8059701492537314,0,0,14,19,1
3,4378,817,4.35985312117503,0,0,4,0,32
2,4752,848,4.6049528301886795,0,0,0,0,0
1,157,27,4.851851851851852,0,0,0,0,0
0,103,20,4.2,0,0,0,0,0
1,2530,444,4.70045045045045,0,0,0,1,1
1,312,56,4.589285714285714,0,0,0,1,0
0,364,74,3.9324324324324325,0,0,0,0,0
0,320,57,4.631578947368421,0,0,0,1,0
0,417,68,5.147058823529412,0,0,0,0,0
1,881,167,4.281437125748503,0,0,5,2,0
0,675,122,4.540983606557377,0,0,0,0,2
1,610,103,4.932038834951456,0,0,0,0,0
1,523,92,4.695652173913044,0,0,1,4,0
2,1080,178,5.073033707865169,0,0,0,0,0
1,231,38,5.105263157894737,0,0,5,1,0
1,778,122,5.385245901639344,0,0,0,0,0
1,2490,577,3.317157712305026,0,0,26,2,10
1,994,173,4.7514450867052025,0,0,1,2,0
0,600,125,3.808,0,0,0,1,0
2,2888,628,3.6003184713375798,0,0,2,12,0
0,506,98,4.173469387755102,0,0,0,0,0
2,254,44,4.795454545454546,0,0,4,1,0
0,5,1,5.0,0,0,0,0,0
0,390,70,4.585714285714285,0,0,0,0,2
1,295,53,4.584905660377358,0,0,2,0,0
1,1149,186,5.182795698924731,0,0,0,0,0
1,891,228,2.912280701754386,0,0,0,1,0
1,859,169,4.088757396449704,0,0,0,1,0
1,2749,477,4.765199161425577,0,0,1,0,0
0,242,50,3.86,0,0,1,0,0
2,3720,688,4.40843023255814,0,0,0,0,0
1,857,173,3.959537572254335,0,0,0,1,0
0,185,31,5.0,0,0,0,1,0
0,42,6,6.166666666666667,0,0,0,0,0
0,25,5,4.2,0,0,0,0,0
2,12032,1984,5.065020161290323,0,0,0,19,0
1,361,46,6.869565217391305,0,0,0,0,0
2,1005,189,4.322751322751323,0,0,2,3,0
0,240,52,3.6346153846153846,0,0,2,1,0
1,1890,299,5.3244147157190636,0,0,0,0,2
3,3326,569,4.847100175746925,0,0,0,3,0
4,6281,975,5.443076923076923,0,0,1,2,0
0,756,132,4.734848484848484,0,0,0,0,1
0,1690,281,5.01779359430605,0,0,1,0,2
4,3488,570,5.121052631578947,0,0,5,0,11
4,7808,1544,4.057642487046632,0,0,12,1,9
2,2030,347,4.8530259365994235,0,0,0,0,1
0,208,51,3.0980392156862746,0,0,0,16,0
1,2069,415,3.9879518072289155,0,0,0,2,1
0,5,1,5.0,0,0,0,0,0
0,321,56,4.75,0,0,1,1,0
0,283,52,4.461538461538462,0,0,0,0,0
1,473,84,4.642857142857143,0,0,0,0,0
2,3454,540,5.398148148148148,0,0,4,0,0
1,1143,193,4.927461139896373,0,0,0,0,0
3,5360,925,4.7956756756756755,0,0,4,16,0
3,1253,238,4.26890756302521,0,0,0,0,0
